team,last5_margin,last10_margin,last5_winpct
UC Davis,-4.4,-2.8,0.4
UC Irvine,14.4,10.4,1.0
UC Merced,-54.0,-54.0,0.0
UC Riverside,-5.4,0.8,0.4
UC San Diego,-2.6,1.2,0.6
UC Santa Barbara,-3.6,-0.6,0.0
UC Santa Cruz,-42.0,-42.0,0.0
UCCS,-36.0,-36.0,0.0
UCF,-11.4,-8.8,0.4
UCLA,11.0,10.6,1.0
UHSP,-65.0,-65.0,0.0
UMBC,22.6,22.4,1.0
UMKC,-21.2,-22.2,0.0
UMass Boston,-51.0,-51.0,0.0
UMass Lowell,-4.6,-6.4,0.6
UNC Asheville,-3.8,-2.2,0.4
UNC Greensboro,1.6,1.4,0.6
UNC Wilmington,1.0,5.8,0.4
UNLV,-7.4,1.8,0.4
